UUID	Название блюда	ID
================================================================================
cf1698d3-755b-41c1-816d-1b16e9b1c5bb	Апероль Спритц 180 мл	06729
0abd727a-8171-4066-80ca-2db744e7e7b0	Джин Тоник 180 мл	06732
15075b21-1365-46a5-a5ee-bbbf97ce94fa	Мохито 250 мл	06731
bf7d917e-b5ce-4521-984d-993bdc5c56cd	Манго-маракуйя Милк Шейк 300мл	07173
34a99884-0d58-4dff-9e45-613de6f34a29	Мохито б/а 250 мл	06893
6f56287a-5108-403e-8ee6-842a2c821013	21 Кюве Экстра брют 125мл	06807
987cd213-7cb7-4291-b55b-6c254c3a34f7	Дюк Де Шеранс Пале Де Версаль 125мл	06808
d82cd29b-ef64-4477-839a-ccfa6ab277c4	Монтефьере Пино Гриджио 125мл	06812
1813e4ae-d686-4aa2-bf47-616dd1aef498	Монтефьоре Просекко ДОК 125мл	06806
10e1939c-a653-4b81-8a85-830d79cf535a	Пер Гийо Мерло 125 мл	06816
9f846257-01f2-47a9-88f1-fd4f4f36654c	Пер Гийо Совиньон 125мл	06809
7263cefe-bb61-4303-b15f-6d08bd4d46f3	Пино Гриджио 125мл 	06811
e21188b0-4d87-4fe5-85ed-c02c4701afa2	Совиньон Блан 125 мл	06815
c96cfd44-4afc-4166-afec-d4a106b60ccf	21 Кюве Экстра брют 750 мл	06818
e87a72bb-74e0-4837-a515-397b02db224b	Дюк Де Шеранс Пале Де Версаль 750мл	06819
912d9e5f-ba37-4307-94d8-684b801cfb95	Мари Манес Шардоне 750 мл	06828
f34fca3d-cb5c-4b91-bef8-6ad925228b29	Монтефьере Пино Гриджио 750 мл	06822
de385d5c-dac3-4f97-a4c6-86ceb1ca4b9f	Монтефьоре Просекко ДОК 750мл	06817
6c7d8cfc-66fb-4cd1-b364-49d40f9015f5	Пер Гийо Мерло 750 мл	06826
fdb6275f-db77-4718-adb4-ef7e44122554	Пер Гийо Совиньон 750 мл	06820
89f6beca-dc73-40f2-9250-0c49abfd8287	Пино Гриджио 750 мл 	06821
0e086b67-3936-4004-8ed1-bb7da6ecf23b	Совиньон Блан 750 мл	06825
f536f248-e949-4d2b-b546-0703fe36a779	Американо 150 мл	06765
6cd4b4f0-3b98-4813-b9a1-4e86ad4c662e	Какао 200 мл	06769
505e415e-eef3-4d32-9db1-4a29cd505bfb	Капучино 150 мл	06767
bbc70aba-93b1-46d9-99c3-7f90cd7f93e8	Кофе по-вьетнамски 150 мл	06763
873c8aa0-8afb-408e-8d19-dca57a4113e3	Латте Макиато с сиропом 220 мл	06768
3bf0ebc6-3556-4a34-a7e7-973ff3287812	Эспрессо 30 мл	06764
6d0682d0-d848-4616-8018-9f96f38e9ce6	Бренди Бодуен 7 лет 50 мл	06846
78a8ac8d-273e-4f58-af4b-a7b78ec38bda	Виски Даблинер 50 мл	06849
4db5b45e-253c-4d4f-8060-b518ebb977f6	Виски Мидаи 50 мл	06847
26314177-e2fe-42fc-b944-242e053e25c9	Водка Байцзю (Укие Райс) 50 мл	06844
81f71c43-55fe-42c4-9f30-3ee93646a45d	Водка Онегин 50 мл	06843
ec24fcb3-97be-4f97-b6a6-238006190916	Водка Сётю Коме Чинмокурю 5 лет 50 мл	06845
e259d2af-1d00-4048-a0e2-f629164a0904	Водка Царская Оригинальная 50 мл	06842
d5dbadda-8761-4893-9127-8518c9630ce2	Джин Укиё Юдзу 50 мл	07155
ac9cd487-fc1f-4ccd-9a87-4b96113e0e3a	Егермейстер 50 мл	06857
c9d126d3-54ea-40b7-bc5b-d42b64e32143	Мартини Бьянко 50 мл	06854
a5c6988a-fcb5-440f-8328-ef9a5bde236f	Мартини Фиеро 50 мл	06856
43007e88-bba2-4088-a6eb-38a17185da7c	Мартини Экстра Драй 50 мл	06855
1afaccea-eee9-4d38-95c9-91020ea885c2	Ром Гран Каду 3 года 50 мл	06850
dad288a5-7a81-40d4-8abc-38b760d25e9f	Текила Пуэбло Бланка 50 мл	06851
c45520a0-a9cc-4dc1-9226-46c850dfabb0	Байкал 500 мл	06840
7bb76dee-63ad-4060-ad7c-4a370bc3091d	Бон аква 330 мл	06839
718723dc-f2a8-4edf-b3a3-46efe6fc9a93	Кока-кола 200 мл	06837
776af7f3-8bd2-4ac0-b1ab-a809a97f63f0	Сок в ассортименте 200 мл	06841
130d3279-8cd6-47c3-b93b-481eaf6ceaaf	Эвервейс  250 мл	06838
3c9308fa-3bb8-4bda-8efc-dcb3b0bc178c	Байцзю сет 4	07156
415f23b3-e16d-4304-8eca-8c0f1e5b4456	Байцзю сет 6	07157
acfdc8a6-3c78-4dce-8ef5-376f33f41203	Байцзю сет 9	07158
638c5bce-68f9-4249-878f-61fa5a083f72	Скай Драгон 1 литр	07115
4270e8c7-65c2-41d5-bd74-2bf2e77cba34	Фреш апельсиновый 250мл	06965
b2101e26-7e7e-4397-a83b-822bdc7d1736	Ассам Меленг 1 литр	07179
eb9bfc55-4044-4c78-a74c-6c62946cf3df	Ассам Меленг 500 мл	06776
99288553-f892-4a11-87c1-751ac5f19252	Гонконг чай	06761
d9d19df6-b328-4eea-9887-bde6871af027	Гречишный чай 1 литр	07189
7c13b754-03ae-4ae8-9276-200276093785	Гречишный чай 500 мл	07190
e637b618-caed-4e29-955b-cba9d9f21856	Грюн Матинэ 1 литр	07180
7cf895da-a10b-40f7-9623-590e0e03e56d	Грюн Матинэ 500 мл	06778
bc74a917-0923-4eb7-9d81-61dbe65e308c	Женьшеневая долина 1литр	07181
446268bd-ce61-4a65-9bf4-3a4a555518cd	Женьшеневая долина 500 мл	06779
652874b8-c17d-4630-93f1-d85147b64a55	Жу-Ча Ружейный порох 1 литр	07182
3cef18fe-d66c-4d90-8b45-df3c9086d3f3	Жу-Ча Ружейный порох 500 мл	06887
fa0c75ff-da37-4a46-a992-866c3f85b68f	Ройал Эрл Грей 1 литр	07185
a59f6fb3-e8fb-4562-9ac9-15191d1aa972	Ройал Эрл Грей 500мл	06777
1828be4c-4886-4719-8f5d-868d4df2809b	Ромашка 1 литр	07186
2e160034-e960-478d-b3d5-2459532071a7	Ромашка 500 мл	06780
978db85c-aaf7-49e0-9bac-a554cdad3c44	Шиповник 500 мл	06781
d03ba8c3-8ffa-4bc3-83c1-a8948f0fabbe	Шиповник 1 литр	07188
404f74da-7808-46f3-8f6a-31ac85053545	Генмайча 500 мл	07178
149b7e05-dff8-4550-a588-d4ff51198efb	Жасмин 500 мл	06772
66033bdb-26a7-4d26-aaac-5625d415ffb8	Маття 150 мл	06775
af06beb5-7eb6-479e-aada-e855e3b25023	Молочный Улун 500 мл	06774
73e42521-9ad9-40c0-aa8d-770d16ac0737	Пуэр 500 мл	07177
755ad098-3b92-4072-9e0d-a040c2ad21fe	Сенча Асамуши 500 мл	07213
839df5bf-9921-4b90-adc8-cb9a65c707e2	Бао с томленной говядиной	06407
b8559795-d310-4edf-a164-8b83808ecba2	Бао с тунцом	06405
38068765-9350-4d78-b0d3-8fa9a4017b45	Бао с уткой	06406
5d1a5ed7-c3fc-4914-8f00-eede0368bf66	Бао со свининой	07049
eebd3a0f-8d66-4ed9-a713-51a5932443a2	Дим-самы с креветкой	06863
efaf5f93-3dfc-4741-90b5-8146a00cf883	Баоцзы с курицей креветкой кальмаром 	06864
c6494f0c-888b-49c7-8c49-9c7e695718d4	Гедза с бараниной жареные	06867
538e3b32-9e18-4dd3-a7e4-4d8b552fc37d	Гедза с курицей жареные	06868
8e4a2246-44be-4832-b12f-5abe84d0d1fb	Гедза со свининой жареные	06866
873b6a14-392d-4eb2-bf30-423993c82c11	Дим-сам с угрем и грибами	06862
af492223-1874-4149-b464-24d766c661b4	Удон со свининой	06649
8b0e92bf-ad65-4200-b660-c9b7e598bad1	Свинина барбекю	07050
1d3fa29a-695d-4dd3-9124-d13c7f55eb79	Телячьи щеки с токпокки в соусе тонкацу	06412
4a2e3d30-2078-40d0-bf98-65dae9b86163	Токпокки мак & чиз	06419
3a958ac4-0fed-4fa1-b56e-d1bc4cbd84b5	Удон с креветками в соусе том ям	06415
aabc908b-6602-49a0-8cd7-821129f57dda	Удон с татаки из тунца	06713
3d95b144-7ee5-4a1c-90c4-7fa600879207	Удон с уткой, грибами и трюф.маслом	06416
b18d64ad-8b6a-41e6-b555-b0fe82b1c63e	Утка по-азиатски 1 шт	06785
1be4490f-5ea4-4321-9c2d-cdd663d5a74b	Утка по-азиатски 1/2 шт	06885
030a129f-ee25-4b0d-b85f-c9d65a58c2fc	Цыпленок в кисло-сладком соусе с рисом	06727
7445fc54-74bb-4513-a15c-42362a13d80f	Яичная лапша с татаки из тунца	06714
5ac58167-0478-428e-badf-c1fa7eeaae04	Яичная лапша с уткой, грибами и трюфельным маслом	06716
bf315135-1694-4f7e-bd2a-f81dbf4d2825	Яичная лапша с креветками в соусе том ям	06715
635e9168-f46e-4267-bb73-27c2823060be	Шао Май  с манго	06865
5486d1de-1fb8-4999-83d3-cd84d949d97a	Жареное молоко	10527
2c7c5911-3464-4ff1-8326-0ed7da186d11	Моти с клубникой	06869
d370b3a6-56a4-467a-a63d-19583afbd122	Моти с соленой карамелью 	10552
af9b2115-6a72-438c-b15a-f76ec1037c89	Тирамису с шоколадным моти	06872
50e944db-2156-4f78-ab53-f34386c2cb6f	Утенок манго	06871
fc5c968e-de2e-4f15-9dca-9e7ddef1b51d	Пирожки с бараниной	06883
e1c91631-114c-4a2d-a8ca-521205e877d3	Сырные шарики	06880
32315faf-75a9-49d4-8e94-bbd98cb8fd45	Фило с курицей и грибами	06881
5a023d51-e484-4649-8a3e-6d86825ad014	Фило с морепродуктами	06882
86210da4-c399-4415-848a-f17339057b5e	Харумаки со снежным крабом 	06878
70bb5a9f-1740-493f-b8ee-e52e059da52a	Хрустящие креветки	06879
fd1bc939-ccd1-44ea-ab89-9b0183f64775	Ошидзуси с креветкой	06638
96866ba2-feae-4697-ae02-77424a5d86d1	Ошидзуси с тунцом	06637
7951eee4-6b62-41ca-8270-d7dd841fcc91	Ошидзуси с угрем	06635
